WordItem,WordColor,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,WelcomeScreen.started,textWelcome.started,keyWelcome.started,WelcomeScreen.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.duration,BlankScreen.started,textBlank.started,textBlank.stopped,BlankScreen.stopped,Instructions.started,textInstructions.started,keyInstructions.started,Instructions.stopped,keyInstructions.keys,keyInstructions.rt,keyInstructions.duration,StudyTrials.started,textStudyTrials.started,StudyTrials.stopped,WaitScreen.started,textWaitScreen.started,keyWaitScreen.started,WaitScreen.stopped,keyWaitScreen.keys,keyWaitScreen.rt,keyWaitScreen.duration,blank_screen.started,textblank.started,textblank.stopped,blank_screen.stopped,y_n_screen.started,text_y_n_screen.started,key_y_n.started,y_n_screen.stopped,key_y_n.keys,key_y_n.rt,key_y_n.duration,BlankScreen_2.started,text_blankscreen.started,text_blankscreen.stopped,BlankScreen_2.stopped,TestTrials.started,textTestTrials.started,key_resp.started,TestTrials.stopped,trials_2.key_resp.keys,trials_2.key_resp.rt,trials_2.key_resp.duration,EndScreen.started,text.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,0.0031602999952156097,0.007222899992484599,0.007222899992484599,1.5552816999988863,space,1.5314207000046736,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,867870,001,2024-12-01_22h12.25.618,short term memory,2024.2.4,59.98969377244595,2024-12-01 22h12.33.235187 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,1.555365599997458,1.5699356999975862,2.0701241999922786,2.0553171999927144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,867870,001,2024-12-01_22h12.25.618,short term memory,2024.2.4,59.98969377244595,2024-12-01 22h12.33.235187 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0554057999979705,2.0701241999922786,2.0701241999922786,4.48950949999562,space,2.404737299992121,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,867870,001,2024-12-01_22h12.25.618,short term memory,2024.2.4,59.98969377244595,2024-12-01 22h12.33.235187 +0530,
content,yellow,0,0,0,,,,0,0,0,5,,,,,4.509053499990841,,,,,,,,,6.503148899995722,6.519750899999053,,7.003566400002455,,,,,,,,4.504330399999162,4.509053499990841,6.503043199991225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,867870,001,2024-12-01_22h12.25.618,short term memory,2024.2.4,59.98969377244595,2024-12-01 22h12.33.235187 +0530,
anxiety,blue,1,1,0,,,,0,1,1,0,,,,,7.01948010000342,,,,,,,,,9.003322799995658,9.019683799997438,,9.503684299997985,,,,,,,,7.01139489999332,7.01948010000342,9.003243999992264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,867870,001,2024-12-01_22h12.25.618,short term memory,2024.2.4,59.98969377244595,2024-12-01 22h12.33.235187 +0530,
depression,blue,2,2,0,,,,0,2,2,1,,,,,9.519234199993662,,,,,,,,,11.50335559999803,11.519415899994783,,12.00314659999276,,,,,,,,9.509097100002691,9.519234199993662,11.503275600000052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,867870,001,2024-12-01_22h12.25.618,short term memory,2024.2.4,59.98969377244595,2024-12-01 22h12.33.235187 +0530,
excited,yellow,3,3,0,,,,0,3,3,3,,,,,12.019007499999134,,,,,,,,,14.003374599997187,14.01919399999315,,14.503316799993627,,,,,,,,12.008844800002407,12.019007499999134,14.003264899991336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,867870,001,2024-12-01_22h12.25.618,short term memory,2024.2.4,59.98969377244595,2024-12-01 22h12.33.235187 +0530,
vexed,blue,4,4,0,,,,0,4,4,2,,,,,14.518953599996166,,,,,,,,,16.503239500001655,16.519021400003112,,17.00291679998918,,,,,,,,14.510122799998499,14.518953599996166,16.50313240000105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,867870,001,2024-12-01_22h12.25.618,short term memory,2024.2.4,59.98969377244595,2024-12-01 22h12.33.235187 +0530,
joyous,yellow,5,5,0,,,,0,5,5,4,,,,,17.01880710000114,,,,,,,,,19.003099499997916,19.01894039999752,,19.502670999994734,,,,,,,,17.010298199995304,17.01880710000114,19.00298940000357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,867870,001,2024-12-01_22h12.25.618,short term memory,2024.2.4,59.98969377244595,2024-12-01 22h12.33.235187 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.50292639998952,19.519023999993806,19.519023999993806,21.905215799997677,1,2.3812484000081895,None,,,,,,,,,,,,,,,,,,,,,,,,,867870,001,2024-12-01_22h12.25.618,short term memory,2024.2.4,59.98969377244595,2024-12-01 22h12.33.235187 +0530,
