WordItem,WordColor,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,WelcomeScreen.started,textWelcome.started,keyWelcome.started,WelcomeScreen.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.duration,BlankScreen.started,textBlank.started,textBlank.stopped,BlankScreen.stopped,Instructions.started,textInstructions.started,keyInstructions.started,Instructions.stopped,keyInstructions.keys,keyInstructions.rt,keyInstructions.duration,StudyTrials.started,textStudyTrials.started,StudyTrials.stopped,WaitScreen.started,textWaitScreen.started,keyWaitScreen.started,WaitScreen.stopped,keyWaitScreen.keys,keyWaitScreen.rt,keyWaitScreen.duration,blank_screen.started,textblank.started,textblank.stopped,blank_screen.stopped,y_n_screen.started,text_y_n_screen.started,key_y_n.started,y_n_screen.stopped,key_y_n.keys,key_y_n.rt,key_y_n.duration,BlankScreen_2.started,text_blankscreen.started,text_blankscreen.stopped,BlankScreen_2.stopped,TestTrials.started,textTestTrials.started,key_resp.started,TestTrials.stopped,trials_2.key_resp.keys,trials_2.key_resp.rt,trials_2.key_resp.duration,EndScreen.started,text.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,0.003325600002426654,0.008196100010536611,0.008196100010536611,2.075067500001751,space,2.0589925999956904,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,794674,001,2024-12-01_22h14.07.637,short term memory,2024.2.4,59.949091233159166,2024-12-01 22h14.17.180779 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,2.0751651000027778,2.084848400001647,2.5850559000100475,2.5703155000082916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,794674,001,2024-12-01_22h14.07.637,short term memory,2024.2.4,59.949091233159166,2024-12-01 22h14.17.180779 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5704070000065258,2.5850559000100475,2.5850559000100475,4.3539603000099305,space,1.7613208000111626,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,794674,001,2024-12-01_22h14.07.637,short term memory,2024.2.4,59.949091233159166,2024-12-01 22h14.17.180779 +0530,
joyous,yellow,0,0,0,,,,0,0,0,4,,,,,4.3755861000099685,,,,,,,,,6.369105899997521,6.384839700011071,,6.868962200009264,,,,,,,,4.370737400007783,4.3755861000099685,6.368995099997846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,794674,001,2024-12-01_22h14.07.637,short term memory,2024.2.4,59.949091233159166,2024-12-01 22h14.17.180779 +0530,
depression,blue,1,1,0,,,,0,1,1,1,,,,,6.884545000008075,,,,,,,,,8.869077199997264,8.884706000011647,,9.368549500009976,,,,,,,,6.875476100001833,6.884545000008075,8.86897019999742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,794674,001,2024-12-01_22h14.07.637,short term memory,2024.2.4,59.949091233159166,2024-12-01 22h14.17.180779 +0530,
vexed,blue,2,2,0,,,,0,2,2,2,,,,,9.3841725000093,,,,,,,,,11.368792300010682,11.38471009999921,,11.868271500003175,,,,,,,,9.376207699999213,9.3841725000093,11.368667200003983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,794674,001,2024-12-01_22h14.07.637,short term memory,2024.2.4,59.949091233159166,2024-12-01 22h14.17.180779 +0530,
content,yellow,3,3,0,,,,0,3,3,5,,,,,11.884207600000082,,,,,,,,,13.868388000002597,13.885681300002034,,14.368224600009853,,,,,,,,11.874804000006407,11.884207600000082,13.868278300011298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,794674,001,2024-12-01_22h14.07.637,short term memory,2024.2.4,59.949091233159166,2024-12-01 22h14.17.180779 +0530,
excited,yellow,4,4,0,,,,0,4,4,3,,,,,14.384159799999907,,,,,,,,,16.368476300005568,16.384256600009394,,16.868659700005082,,,,,,,,14.373552900011418,14.384159799999907,16.36838290000742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,794674,001,2024-12-01_22h14.07.637,short term memory,2024.2.4,59.949091233159166,2024-12-01 22h14.17.180779 +0530,
anxiety,blue,5,5,0,,,,0,5,5,0,,,,,16.883846299999277,,,,,,,,,18.868336900006398,18.883904600006645,,19.367879400000675,,,,,,,,16.874773300005472,16.883846299999277,18.868125200009672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,794674,001,2024-12-01_22h14.07.637,short term memory,2024.2.4,59.949091233159166,2024-12-01 22h14.17.180779 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.368166900007054,19.38406080000277,19.38406080000277,21.804105300005176,1,2.4095078999962425,None,,,,,,,,,,,,,,,,,,,,,,,,,794674,001,2024-12-01_22h14.07.637,short term memory,2024.2.4,59.949091233159166,2024-12-01 22h14.17.180779 +0530,
